onset	duration	sample	value	trial_type	response_time	stim_file
331.998	n/a	n/a	S  8	STATUS	n/a	n/a
331.998	n/a	n/a	R 12	STATUS	n/a	n/a
333.054	n/a	n/a	S  1	Fixation	n/a	n/a
333.806	n/a	n/a	S 10	STATUS	n/a	n/a
333.806	n/a	n/a	R  6	STATUS	n/a	n/a
334.578	n/a	n/a	S  2	Right Button	n/a	n/a
334.84	n/a	n/a	S  9	STATUS	n/a	n/a
334.84	n/a	n/a	R 12	STATUS	n/a	n/a
335.896	n/a	n/a	S  1	Fixation	n/a	n/a
335.939	0.498	n/a	boundary	n/a	n/a	n/a
336.05	n/a	n/a	S  7	STATUS	n/a	n/a
336.05	n/a	n/a	R  6	STATUS	n/a	n/a
336.604	n/a	n/a	S  3	Left Button	n/a	n/a
336.836	n/a	n/a	S  9	STATUS	n/a	n/a
336.836	n/a	n/a	R 12	STATUS	n/a	n/a
337.892	n/a	n/a	S  1	Fixation	n/a	n/a
338.624	n/a	n/a	S  7	STATUS	n/a	n/a
338.624	n/a	n/a	R  6	STATUS	n/a	n/a
339.136	n/a	n/a	S  3	Left Button	n/a	n/a
339.388	n/a	n/a	S  8	STATUS	n/a	n/a
339.388	n/a	n/a	R 12	STATUS	n/a	n/a
340.444	n/a	n/a	S  1	Fixation	n/a	n/a
341.246	n/a	n/a	S  6	STATUS	n/a	n/a
341.246	n/a	n/a	R  6	STATUS	n/a	n/a
341.7	n/a	n/a	S  4	Up Button	n/a	n/a
342.002	n/a	n/a	S  9	STATUS	n/a	n/a
342.002	n/a	n/a	R 12	STATUS	n/a	n/a
343.058	n/a	n/a	S  1	Fixation	n/a	n/a
343.77	n/a	n/a	S  8	STATUS	n/a	n/a
343.77	n/a	n/a	R  6	STATUS	n/a	n/a
345.156	n/a	n/a	S  4	Up Button	n/a	n/a
345.388	n/a	n/a	S  8	STATUS	n/a	n/a
345.388	n/a	n/a	R 12	STATUS	n/a	n/a
346.444	n/a	n/a	S  1	Fixation	n/a	n/a
346.475	0.526	n/a	boundary	n/a	n/a	n/a
346.77	n/a	n/a	S  6	STATUS	n/a	n/a
346.77	n/a	n/a	R  6	STATUS	n/a	n/a
347.73	n/a	n/a	S  3	Left Button	n/a	n/a
347.932	n/a	n/a	S  9	STATUS	n/a	n/a
347.932	n/a	n/a	R 12	STATUS	n/a	n/a
348.988	n/a	n/a	S  1	Fixation	n/a	n/a
349.73	n/a	n/a	S  8	STATUS	n/a	n/a
349.73	n/a	n/a	R  6	STATUS	n/a	n/a
350.738	n/a	n/a	S  2	Right Button	n/a	n/a
350.92	n/a	n/a	S  9	STATUS	n/a	n/a
350.92	n/a	n/a	R 12	STATUS	n/a	n/a
351.976	n/a	n/a	S  1	Fixation	n/a	n/a
352.271	0.274	n/a	boundary	n/a	n/a	n/a
352.414	n/a	n/a	S  5	STATUS	n/a	n/a
352.414	n/a	n/a	R  6	STATUS	n/a	n/a
353	n/a	n/a	S  3	Left Button	n/a	n/a
353.222	n/a	n/a	S  8	STATUS	n/a	n/a
353.222	n/a	n/a	R 12	STATUS	n/a	n/a
354.129	0.776	n/a	boundary	n/a	n/a	n/a
354.324	n/a	n/a	S  7	STATUS	n/a	n/a
354.324	n/a	n/a	R  6	STATUS	n/a	n/a
354.98	n/a	n/a	S  2	Right Button	n/a	n/a
355.252	n/a	n/a	S  9	STATUS	n/a	n/a
355.252	n/a	n/a	R 12	STATUS	n/a	n/a
356.308	n/a	n/a	S  1	Fixation	n/a	n/a
357.06	n/a	n/a	S  5	STATUS	n/a	n/a
357.06	n/a	n/a	R  6	STATUS	n/a	n/a
357.864	n/a	n/a	S  3	Left Button	n/a	n/a
358.086	n/a	n/a	S  9	STATUS	n/a	n/a
358.086	n/a	n/a	R 12	STATUS	n/a	n/a
359.142	n/a	n/a	S  1	Fixation	n/a	n/a
359.824	n/a	n/a	S  8	STATUS	n/a	n/a
359.824	n/a	n/a	R  6	STATUS	n/a	n/a
360.472	n/a	n/a	S  2	Right Button	n/a	n/a
360.754	n/a	n/a	S  8	STATUS	n/a	n/a
360.754	n/a	n/a	R 12	STATUS	n/a	n/a
361.81	n/a	n/a	S  1	Fixation	n/a	n/a
362.542	n/a	n/a	S  6	STATUS	n/a	n/a
362.542	n/a	n/a	R  6	STATUS	n/a	n/a
363.74	n/a	n/a	S  4	Up Button	n/a	n/a
363.962	n/a	n/a	S  9	STATUS	n/a	n/a
363.962	n/a	n/a	R 12	STATUS	n/a	n/a
365.018	n/a	n/a	S  1	Fixation	n/a	n/a
365.828	n/a	n/a	S  7	STATUS	n/a	n/a
365.828	n/a	n/a	R  6	STATUS	n/a	n/a
366.568	n/a	n/a	S  3	Left Button	n/a	n/a
366.908	n/a	n/a	S  9	STATUS	n/a	n/a
366.908	n/a	n/a	R 12	STATUS	n/a	n/a
367.966	n/a	n/a	S  1	Fixation	n/a	n/a
368.786	n/a	n/a	S  8	STATUS	n/a	n/a
